forensic_admin,b3b4c72c92ee4d3f4c0eb1a2d7c077e02e445840bb0097364f5a96867d86c50b
compliance_user,5579f73fa8a0717870b11e9790d25e9d9063e98ae5a6f510311a9b09fb5602a1
security_analyst,2752449c80641715bd689d30c81cbb62e054d0c930531ce1e48bdacf137fcb02
audit_manager,6ef89e895ffd91f6407fd5e7930689cc939aba4757cb8795718279cce09896bf
vendor_support,6b8ce75881f9e868a169c6cc9ffdb74bb3a40d7f945eec70e5ff8e768ff3fec4
training_user,0b35e121898d917ea89fb30bd82112d8a147023a685d34238e49c139d484335d
forensic_user,f51bac818e309a4365b699fb7b3b953db61785d1266a6d0e117b82dfd08306db
security_officer,b7adcccd72be2ae0f12147ab34b5106be3e6a844459d0390059796aec288353f
data_analyst,0ab22541f1e0c6a8433cbb9eeaf50cbf6f5aeecbed378fea5400fe4fc5b34453
system_admin,cac0cee4c29187c150048c1ca97d3362eadd0792410221011e980bd8e4e97af9
